0, 20, 0
1, 20, 6
2, 20, 14
3, 21, 18
4, 19, 23
5, 22, 28
6, 23, 32
7, 21, 38
8, 16, 41
9, 20, 45
10, 24, 50
11, 19, 58
12, 19, 61
13, 18, 65
14, 25, 68
15, 25, 77
16, 21, 84
17, 16, 87
18, 18, 93
19, 19, 97
20, 20, 99
21, 26, 103
22, 25, 106
23, 20, 110
24, 23, 114
25, 20, 116
26, 14, 120
27, 24, 126
28, 16, 128
29, 18, 135
30, 21, 137
31, 22, 143
32, 22, 148
33, 18, 156
34, 20, 159
35, 12, 162
36, 15, 166
37, 14, 171
38, 22, 179
39, 19, 185
40, 20, 192
41, 23, 197
42, 22, 205
43, 19, 213
44, 18, 216
45, 16, 221
46, 20, 224
47, 19, 231
48, 19, 235
49, 20, 238
50, 22, 243
51, 21, 247
52, 26, 254
53, 17, 255
54, 21, 261
55, 23, 267
56, 17, 274
57, 18, 280
58, 19, 284
59, 22, 287
60, 20, 289
61, 23, 294
62, 21, 297
63, 23, 302
64, 21, 305
65, 19, 308
66, 23, 314
67, 17, 323
68, 22, 331
69, 24, 333
70, 20, 336
71, 21, 341
72, 21, 344
73, 17, 349
74, 19, 353
75, 17, 361
76, 22, 366
77, 22, 371
78, 25, 377
79, 20, 383
80, 24, 385
81, 26, 391
82, 18, 395
83, 26, 400
84, 19, 403
85, 24, 408
86, 22, 411
87, 19, 418
88, 24, 421
89, 24, 422
90, 15, 427
91, 24, 433
92, 22, 438
93, 22, 443
94, 20, 448
95, 22, 452
96, 17, 457
97, 21, 461
98, 17, 464
99, 18, 468
100, 20, 472
101, 22, 482
102, 21, 491
103, 20, 495
104, 20, 499
105, 16, 504
106, 25, 510
107, 24, 515
108, 23, 518
109, 13, 521
110, 18, 527
111, 21, 530
112, 19, 535
113, 16, 538
114, 22, 540
115, 19, 544
116, 22, 549
117, 24, 556
118, 22, 559
119, 24, 564
120, 22, 571
121, 20, 576
122, 19, 579
123, 27, 583
124, 19, 588
125, 14, 595
126, 20, 600
127, 23, 605
128, 21, 607
129, 20, 609
130, 21, 614
131, 23, 617
132, 19, 626
133, 25, 632
134, 23, 635
135, 22, 640
136, 18, 646
137, 23, 653
138, 16, 655
139, 20, 656
140, 21, 658
141, 21, 661
142, 24, 666
143, 16, 672
144, 17, 678
145, 18, 683
146, 23, 687
147, 16, 691
148, 23, 697
149, 18, 705
150, 18, 713
151, 25, 720
152, 17, 727
153, 20, 730
154, 19, 736
155, 18, 744
156, 19, 749
157, 18, 754
158, 17, 758
159, 20, 758
160, 16, 761
161, 20, 767
162, 19, 777
163, 16, 782
164, 18, 785
165, 22, 792
166, 17, 795
167, 13, 799
168, 20, 800
169, 19, 808
170, 18, 815
171, 23, 824
172, 24, 832
173, 25, 838
174, 23, 842
175, 20, 848
176, 20, 856
177, 25, 860
178, 22, 865
179, 27, 872
180, 21, 877
181, 22, 881
182, 17, 887
183, 22, 892
184, 10, 896
185, 16, 900
186, 19, 903
187, 21, 909
188, 25, 914
189, 17, 918
190, 25, 921
191, 23, 928
192, 20, 937
193, 21, 939
194, 21, 946
195, 23, 953
196, 19, 954
197, 17, 958
198, 24, 961
199, 24, 967
200, 20, 973
201, 21, 978
202, 23, 982
203, 18, 988
204, 18, 992
205, 19, 998
206, 20, 1003
207, 24, 1007
208, 26, 1010
209, 19, 1015
210, 23, 1022
211, 25, 1027
212, 23, 1035
213, 17, 1039
214, 25, 1045
215, 20, 1050
216, 23, 1057
217, 21, 1064
218, 25, 1067
219, 22, 1069
220, 18, 1069
221, 18, 1076
222, 23, 1081
223, 21, 1084
224, 25, 1090
225, 19, 1091
226, 17, 1095
227, 16, 1100
228, 19, 1110
229, 19, 1117
230, 14, 1123
231, 18, 1129
232, 22, 1131
233, 22, 1134
234, 22, 1139
235, 25, 1143
236, 23, 1150
237, 19, 1158
238, 18, 1161
239, 21, 1164
240, 16, 1170
241, 21, 1176
242, 18, 1181
243, 22, 1183
244, 20, 1189
245, 20, 1192
246, 19, 1196
247, 18, 1202
248, 24, 1205
249, 19, 1213
250, 22, 1219
251, 20, 1226
252, 18, 1228
253, 18, 1231
254, 20, 1233
255, 18, 1237
256, 20, 1242
